ACTI	AC	MBEP	CR	IC	IS	MBEA	EXTRA	SATLD	JOBSAT	GOAL	RETENT	QUIT	ACS	ALT.W	ALT.NW	ALT.P
2.65	3.88	2.71	3.11	3.89	3.7	3.29	2.67	3	4	4	3.5	1.17	2.75	5	4.5	5
3.27	4.38	1.71	4	4.56	4.1	3.43	3.67	4	5	4.83	4	1	1	5	3.25	4.5
1.55	3.5	3.43	1.89	2.33	2.4	3.57	0.33	2.5	2	3.83	3	3.83	3	3.75	3.5	5
2.81	3.75	2.14	3.44	4	4	3.57	2.67	3	4	4.5	3.75	1.17	2.5	4.25	4.75	4.75
2.76	4.5	1.29	2.11	4.67	3.8	1.43	3.67	4	5	3.67	3.75	1	3	4.5	5	4.25
2.92	4.25	1.86	3.11	4.56	3.7	3.57	3.67	4	5	4.83	5	1	4	5	5	4.75
2.48	3.25	2.43	3	3.56	4	3.29	1.67	4	5	4.5	3.75	1	1	4.75	4.75	4.25
2.59	4.13	1.43	2.44	3.78	4	3.29	1.67	3.5	5	4.83	4	1	2.75	3.75	3.25	3.75
2.42	3.63	2	2.89	3.67	3.5	3	2.33	3	4	3.83	3	1.17	2.25	4	4	3.5
1.56	3	3	1.67	3	2.6	3.43	1.67	2.5	4	4.33	3.5	1	1	4.5	4	3.25
1.89	3	3.14	2.56	2.67	3.3	3	2	2.5	4	3.5	3	1	1.25	3.5	3.25	3.25
2.12	3.5	2	2.22	3.22	3.5	3	2.33	3.5	4	5	3.5	1.33	1	4.25	4.25	3.25
2.65	3.63	1.29	2.67	4.22	4	2.86	3	3.5	5	4.17	4	1	1.25	4.75	4.25	4.25
2.38	3.5	1.86	2.67	3.67	3.5	4.86	2.33	3.5	4	4	4.75	2.33	2.25	5	5	4.25
3.02	4.5	1.86	2.67	4.33	4.6	3.86	3	3.5	5	4.5	4.5	1	3.5	4.25	3.25	4.25
2.44	4.38	2.14	1.67	3.33	4.3	3.43	2.67	3	4	3.67	1.25	1.17	3.5	3.75	4	3.5
2.47	3.5	2.43	3.11	3.44	3.8	2.71	2.67	3.5	4	4	4	1.33	1	4	3.75	3.75
2.83	4.5	3.71	3.44	4.22	3.2	4	3.67	3	4	4	4	1	5	5	4	4
2.11	3.25	2.86	2.67	3.33	3.2	2.86	1.67	1	4	3.83	3	1	2	3	3	3.5
1.63	3.25	3	2	2.22	2.9	3.86	1.67	3	4	4	3.5	1.67	2	4.75	4.25	5
2.94	3.75	2.43	3.56	4.22	4.1	3.71	2.33	3.5	5	4.17	4.5	1.33	3.25	4.75	5	4.75
2.68	4.25	2	2.89	4	3.6	3.29	3.33	3	5	4	3.5	1.5	2	4.5	4.5	4
3.35	4.75	1.43	3.89	4.89	3.9	3.14	4	4	5	4	3.5	1.17	3	4	4	3.75
0.97	1.5	4.71	2.11	2.67	1.7	2.86	0	0	4	4.33	2.25	1	2.75	5	5	3.75
0.97	1.88	4.29	2	1.78	2.2	3.14	0.67	1	5	4.17	3	1	4.5	4.5	4	4.25
2.95	5	1.14	3.11	4.44	3.3	2.14	4	4	5	4	3.67	1	4	4.5	4	4.25
3.07	4.5	1.57	3.44	4.33	4	4.14	4	3.5	4	4	3.5	1.33	3	4	3	4
2.9	4.63	1.71	3.89	4	3.1	4.14	2.67	3.5	5	4.33	4	1	1.75	4.75	4.5	4.75
2.35	4.88	2.14	2.67	2.56	3.3	3.29	1.33	4	5	3.83	3.5	1	2.25	5	4.5	4
3.89	4.75	1	5	5	4.8	2.29	4	4	5	4	3	2	2.5	5	3.5	4.5
3.22	4.75	1.14	3	4.78	4.3	2.86	2.67	3.5	2	3	2.75	1.67	2	3.25	3.75	3.5
3.04	4.5	2.29	3.78	4.22	3.7	3.71	3	4	5	4.17	3.75	1	3.75	4.5	4.25	5
2.59	3.63	3.86	3.89	3.33	3.5	4.29	4	3.5	4	3.67	3.75	1.17	3	3.75	3	3.5
2.35	3.63	1.29	2.44	3.44	3.7	2.71	2.33	2.5	5	4.17	2.75	1.17	3	4.5	4.75	4.25
2.75	3.88	2	3.67	4	3.5	2.57	2.67	3	4	3.67	3.5	1	2.25	4	3.5	3.75
2.88	4.13	3.43	3.89	3.78	3.7	3.43	3	3	4	3.83	3.25	1.17	2	4.25	3.75	4
3.67	4.25	1.71	4.78	4.89	4.7	3.14	4	4	5	4.67	4.25	1	3.75	5	5	4.5
1.75	3.38	3	1.78	2.78	3	3.14	1.33	3	4	3.67	4.25	1.17	4	5	3.75	4
2.56	3.75	1.71	2.67	4.22	3.6	2.71	2.33	4	5	4.5	3.75	1	3.5	4.75	4.5	5
1.92	3.5	2.57	2.33	3.11	2.8	2.14	1.67	0.5	5	3.17	3.25	1	2.75	3.75	3.75	3.75
3.65	4.88	1.43	4	5	4.7	3.71	4	4	5	5	3.5	1	4.5	5	5	5
1.4	2.75	3.29	1.44	2.67	2.7	3.14	1.33	1.5	4	3.67	4	1	3.5	4	4	3.75
2.02	2.38	3	2.33	3.22	4	4.57	1.67	2	5	4.17	3	1	1	4.5	4.5	5
1.05	2	4	1.67	2.33	2.2	4.43	1	1	4	3.33	3	1	1.5	4.5	4	4.5
1.44	2.75	3.86	1.44	2.56	2.8	3.71	1	2	2	3.33	3	2.5	2	3.25	3.25	4
2.49	4.25	3.86	3	3.44	3.2	3.29	2.67	3	4	4.83	3.5	1	4	5	5	4.5
2.82	4.13	1.57	3.56	3.78	3.8	3.29	3	1.5	4	5	3.75	1	2.5	4.5	4.5	4
2.01	3.5	1.57	2.67	3	2.7	3	0.33	3	5	3.33	3	1	3	5	4.5	4.25
2.19	3.75	1.71	2.22	3.22	3.5	2.71	1	4	5	4.5	3.75	1	3.75	4.75	4.75	5
1.56	3.13	2.14	1.89	2.44	2.7	2.71	0.67	2.5	4	3.83	4	1	3	3.5	3.75	4.25
2.15	3.5	2	2.89	3.33	3	3.29	1.67	3	5	4	4.5	1	4.75	4.75	4	4
1.19	3.13	1.71	1.67	1.89	2	2.71	0.67	1.5	4	3	2.5	1.33	3	5	4.5	4.75
2.26	3.75	2.86	2.78	3.56	3	3.71	3	3	4	4.17	3.5	1	3	4.5	3.75	4.75
1.83	3	2.14	2.56	3.11	2.6	3.86	2.33	2.5	4	3.5	2.5	1	2.25	3.5	3	3.5
2.7	4.38	2.29	3	3.67	3.7	3.71	2.67	4	5	4.5	3.5	1.17	1.75	4.25	3.5	3.5
2.85	3.5	1.71	3.33	4.44	4	3.43	2.33	3.5	4	4.17	3.5	2	2.25	4.25	2.25	4
3	4.25	1.14	3.44	4.22	4	4.14	2.33	4	5	4.83	3.75	1	5	5	4.75	4.5
2.9	4.38	1.57	2.78	4.22	4.2	2.29	2.67	3.5	5	4.17	3.25	1	1.75	4	3.5	4
1.79	3	2.86	2.67	3.11	2.4	2.71	1.33	2.5	4	3.83	3	1	2.5	2.75	2.75	3.75
1.06	2.38	3.29	1.78	1.89	2.1	2.71	0.33	2	5	4	3	1.67	2.5	4	3.5	4.75
2.44	4.38	1.57	2.67	3	3.7	3.43	2	3.5	5	4.83	4.33	1	3.75	5	5	5
2.63	3.38	2	2.89	4	4.2	5	2.67	2	4	3.83	4	1	2.25	5	1.5	5
3.26	4.88	1.86	4.22	4.22	3.7	3.29	3	4	5	4	3.5	1	3.25	4	4	4
2.19	3.88	1.86	2.56	3.11	3.2	3	2.67	3	4	3.67	4.5	1.17	3.5	4	3.75	4
3.08	4.88	1.43	3.22	4.33	4	4.57	4	4	5	5	5	1	1	5	5	4.5
3	4.5	1.71	3.44	4.22	3.8	3.57	3	4	5	4.83	4	2.83	3.25	5	5	5
2.25	3.38	2	3	3.11	3.4	4	2.33	2.5	5	3.83	3.25	1.17	1.25	4.25	4.25	5
2.76	3.25	2	3.11	3.89	4.7	3.71	2.33	3.5	4	4	4	1	3.25	4.5	4	4.5
1.95	3	2.14	2.89	3.11	2.8	3.43	1.67	3	4	3.5	2.5	2	1.75	3.75	4	4
2.08	3.63	2.29	2.11	3.44	3	4.14	2.67	3	4	4.5	2.75	2.67	2	4.5	3.25	4
2.75	4	2.86	3.22	4.44	3.4	3.71	3.33	3	4	4.33	4.5	1	1.75	4.25	3.75	4.25
2.23	3.38	2.29	2.67	3.22	3.5	4.43	3	4	5	4.5	2.5	1.83	2	5	5	4.25
2.55	3.88	2	3.44	3.33	3.5	2.71	2.67	3	4	4	4	1	3.5	4.5	3.5	4
2.99	4.75	1.57	2.67	4.33	4.2	3.43	3	4	5	4.17	3.5	1	4	4	4.25	5
2.76	3.75	2	3.67	4.11	3.5	4	2.33	3.5	5	4.33	4.25	1	3.25	4.5	4	3.75
2.26	3.5	2.71	2.22	3.33	3.9	3.71	2.67	3	4	4	4	1.33	3	4.5	5	4.75
1.58	2.75	2.71	1.44	3	3.1	2.86	1.67	2	3	4.17	4.5	1.33	2	4.25	3.5	4.75
2.23	3.25	2.29	2.56	3.67	3.4	3.57	1.33	3	5	4	5	1	4	4.25	4	3.5
2.65	3.38	2.29	3.33	4	3.8	4.29	2	3	4	4	3.25	1	2.25	5	4.5	4.75
2.22	3.38	3	3.44	2.89	3.2	3.71	2	1.5	4	4	3.5	1.33	3.25	4	3.75	3.75
2.66	3.75	1.29	2.44	4.33	4	3.14	2.67	4	5	4.67	4.25	1	4.5	4.75	5	4.5
3.64	4.63	1	4.33	4.89	4.7	3.29	3.67	4	5	4.67	4.5	1	2.5	5	5	4.75
2.76	4.25	1.43	3.33	3.78	3.7	4	3	3	4	4	3.5	1	3.25	4	3.75	3.75
2.63	3.88	2	2.67	4.11	3.8	3.14	3	3.5	4	3.67	3.5	1	3	4.5	4.5	5
1.73	3.88	2.57	1.67	2.67	2.7	3	2.33	2.5	4	2.67	2.75	1.33	3	4.25	3	4.25
2.25	4	2.14	2.56	2.89	3.6	4	3	3	5	#NUL!	#NUL!	1	4	4.75	4.25	3.75
0.85	2	4.14	1.56	2.44	1.3	2.57	0	1.5	4	3	4	3.67	1.75	3.75	3.75	4.25
2.26	3.38	2	2.78	3.44	3.5	3	2.67	3	4	4.17	3.5	1.5	2.75	4	4.25	4
2.79	4.13	1.14	2.67	4.22	4.1	3.43	2	4	5	4.17	2.75	1.67	2.25	3.75	4	4.25
3.17	4.88	1.29	3.11	4.33	4.4	3.71	3.33	4	5	#NUL!	#NUL!	1.17	3.25	4	4.25	#NUL!
2.39	4	1.57	2.33	3.33	3.8	3.71	2.33	4	5	4.17	4	1	2.25	4.25	4.25	4.25
2.89	4	2	3.56	4	4	2.86	3.33	3.5	4	4.33	3.5	1	3	4	4	3.75
2.76	4.75	1.57	3.11	3.89	3.4	3.57	3.67	4	5	4.67	4.75	1	5	4.75	4.25	5
2.1	3.75	2.14	2.33	3.11	3.2	2.43	2	2.5	4	3.33	3.25	1	3.75	4	3	3.5
1.12	2.13	4	2.11	2.22	2	3	0.33	0.5	4	3	3	1.33	2	4.25	4	4
1.88	3.63	2.43	2.33	2.56	3	3.43	1	2.5	4	3.67	3.5	2.17	2.75	4.5	4	4.75
2.56	3.75	2.29	3.56	3.67	3.2	3.86	2.67	3	5	4	3	1	3.5	3.75	3	5
2.47	4	2.14	2.44	4.11	3.3	3.29	3	4	4	4.67	3.25	1	4.75	5	4.75	4.25
2.92	3.88	1.43	2.89	4.22	4.6	3.57	4	4	5	4.67	3.25	1	3.25	4.67	4.75	4.25
2.16	3.5	2.14	1.67	3.56	3.9	2.86	2.33	3	5	4.17	3.5	1	2.75	4	2	4.75
2.31	3	2.86	3.33	3.78	3.1	3.57	2.67	2	5	4.67	4.75	1.67	3	4.5	4.75	4
2.44	3.88	2.57	3	3.11	3.7	4.14	2.33	2.5	5	4	3.5	1	3.5	4.5	4.25	4
1.64	2.63	3.86	2.44	2.78	2.8	2.57	1.67	1.5	5	3.67	3	1.17	2.5	4.25	4.25	4.75
2.79	4.5	1.86	2.33	3.89	4.4	3.14	3.33	4	5	4.5	4.5	1	3.5	4.75	4	4.75
1.25	2.63	2.14	1.56	2.44	2.2	3.86	1	2	5	3.67	3.75	1.67	3.25	4.75	3	4.25
2.41	3.38	2	3.56	3.89	2.8	2.57	2	2	4	4	3.5	1	3.5	4.75	5	4.5
2.24	3.75	2.29	2.56	3.56	3.1	3.29	2	3	4	4	3.25	1	3.5	3.75	3.25	3
1.52	3.88	2.14	1.56	2.22	2.3	4.14	0.33	3	5	4	3.75	1	3	5	4	4.5
1.15	2.13	4	2.22	2.22	2.1	3.29	1	0.5	5	4.17	2	1	3	4	4.5	4.25
2.36	3.63	2.86	2.56	3.78	3.5	3	2	2	4	3.83	3	1	2.75	4.25	4.25	4.75
1.58	2.38	3.71	2.56	2.33	3.1	3.57	1.33	1	4	4.17	3.5	1.5	3	4.75	4	5
2.26	3.63	1.29	2.89	3.33	3.3	3.43	2.67	3	4	3.33	2.75	1	2	3.25	4.5	4.25
3.23	4.5	1.57	3.33	4.56	4.5	3.86	3	4	5	4.83	4.25	1	3.75	4.75	5	4.75
0.95	2.25	2.71	1.44	2.33	1.8	2.57	0	0	5	4	3	1.17	5	5	5	4.75
0.9	1.5	4	1.78	1.56	2.6	3.86	1	0.5	4	3.5	3	3.83	2.75	3.5	2.75	3.5
2.08	3	2.57	2.56	3.44	3.4	3	2	1	4	4	4	1	4.25	5	4.25	4.75
1.49	2.63	3.86	1.89	2.89	2.6	2.43	1	1	4	2.83	3.5	3.67	3.25	3.75	5	4.5
1.16	2.63	2.86	1.33	2.44	2.2	2	0	0	4	4.17	3.25	1.5	5	5	3.25	4.75
3.94	5	1.29	4.89	5	4.9	3.29	4	4	5	4.17	3.75	1.17	3	5	5	4.75
2	3.88	1.43	1.78	3.44	2.9	2.86	2	3	5	4	3.5	1	4.25	4.75	5	4.5
0.8	1.75	4.43	1.78	1.89	1.7	3	0.33	0	4	4.17	2.5	1	3	4.5	4	4
0.99	1.88	3.43	1.78	2	2.4	3.29	0.67	1	2	3.33	3	3	3.5	4.5	4.75	5
2.87	4.5	2.29	3.44	4	3.5	3.86	2.67	3.5	5	4.5	3.5	1	3.75	4.5	4.25	4.25
3.02	4.38	2	3.22	4	4.4	3.71	2.33	4	5	4.67	4.5	1	4.75	4.75	3.75	5
1.31	2.63	3.43	1.78	2.11	2.7	3.57	0.33	1	4	4	3.5	1.17	3	4	3.75	4.75
2.41	3	3.43	3.33	3.67	3.7	3.57	2	1	3	3.17	3.25	2	2	4.25	3.75	4
2.39	3.88	1.86	3.22	2.89	3.6	3.86	1.33	3	5	3.5	2.5	2.17	3	4.5	3.75	4.75
2.1	3.75	2.14	2.67	2.89	3.1	3	2	1	2	3	3	3.33	1	4.25	4.75	3.75
0.47	1.13	4.43	1	2.22	1.5	4	0	0	4	4	3.75	1	3.75	4	4	4
2.1	3.13	2.86	2.89	3	3.4	3.86	2.33	3	4	3.83	2.5	1.17	2.75	4	3.25	4
1.38	2	4.86	1.89	3.33	2.3	3.57	2	0	4	3.17	3	2.33	5	4.75	3.5	4
1.98	2.88	2.71	2.22	3.67	3.2	3.71	2	3	4	4.33	4.33	1	5	5	4.25	5
2.49	3.63	1.14	3	3.89	3.3	2.86	2	4	4	4.33	3.25	1	2.25	4.5	4	3.75
0.68	1.5	4.29	1.44	1.78	2	2.57	0.33	0.5	4	3.67	3	1.33	3	3.75	3.25	4
1.24	2.63	2.57	1.33	2	3	2.43	0.33	3	5	3.83	2.25	1	1.75	4.25	3.75	3.75
1.52	2.38	4	2.44	2.78	2.5	2.29	0.67	2	5	3.67	4	1.33	1.75	4.5	3.25	3.25
2.38	4.13	2.29	1.89	3.89	3.5	3	1.67	3.5	4	4.5	3.25	1.33	2.5	4.75	4.25	3.75
2.48	3.25	2	3.44	3.56	3.6	2.86	2	3	4	3.5	4.5	1.33	1.5	4.75	5	4.25
3.07	4	2	3.67	4.44	4.2	3	3	3	#NUL!	3.17	3.75	1	1.75	4.5	4.25	4.5
0.67	2.5	3.71	1.33	1.33	1.5	1.71	1	0	4	2.67	3	2.83	2	4	3.75	4.5
2.06	3.5	3.71	2.67	3.11	3	2.43	2.33	1	5	4.67	4.5	1	2	4.5	4.25	4.5
1.49	3.63	1.86	1.44	2	2.9	3.43	1.67	3.5	4	4.17	4	1	2.5	3.5	2.75	2.75
2.78	3.88	1.86	3.22	3.78	4.1	3.43	2.33	4	4	4.5	4.25	1	3.75	4.75	4.25	4.5
3.86	5	1.14	4.56	5	4.9	4.43	4	4	5	5	4.75	1	5	5	5	5
2.35	3.38	2	3.44	3.22	3.4	3.14	2	3	4	4	3	1	4	4	5	4.5
3.39	4.38	1	4.33	4.44	4.4	4.57	2.33	3.5	4	3.67	2.5	1	3.5	4	3.5	3.75
2.93	4.25	2.29	3.11	4.56	3.8	3.29	3.33	3	4	4	2.75	1	3	5	5	4.5
1.78	3.13	3	2.78	2.67	2.6	2.71	2	1	4	3.5	3	1.67	3.5	4	4	3.75
2.32	3.5	2.14	2.78	3.67	3.3	2.43	2.33	2.5	4	3.83	2.75	1	2.5	4.25	3.75	4.25
2.22	3.75	2.14	2.56	3.22	3.3	4.43	1.67	3	4	3.5	3.75	1	3	4.5	4.75	4.25
2.56	3.88	1.43	3.11	3.56	3.7	2.43	2	3	4	4	2.75	1	5	4.25	4	4.75
2.02	3.63	2.43	2.33	3	3.1	2.57	2.33	2	4	3	3.5	1	3.5	4.5	4.5	4.25
2.72	4.25	1.86	3	3.89	3.7	3.29	2.67	4	5	4	4	1	2.75	4	3.5	3.75
1.73	3.38	2.57	1.89	2.89	2.7	3	0.67	1.5	4	4	2.5	1.33	1.25	5	3.75	5
2.36	4.38	1.86	2.11	3.22	3.7	2.57	1.67	4	5	4.67	3.25	1.17	1	3.25	3.25	3.25
2.69	4	2.14	3.33	3.89	3.5	3.29	3	3	4	3.83	2.25	1	5	4.5	4.25	4
1.94	2.88	2.43	2.89	3.22	2.8	2.71	1	1	3	3.83	3.25	1.17	4	3.75	4	4
2.1	4.13	2.43	2	3	3.3	2.43	2	2.5	4	4	3.25	1	4	4.75	3.5	3.75
3.18	4.25	2.29	4.44	4	4	3.57	3.67	4	5	4.67	3.25	1	4.5	4	3	4.25
2.81	3.63	1.57	2.67	4.56	4.2	2.57	3.33	4	5	4.83	4.33	1	3.75	4.75	4.25	4.5
3.78	4.88	2.71	4.78	4.67	4.8	4.86	4	4	5	5	5	1	5	5	5	5
3.62	4.5	1.29	4.44	4.67	4.8	4.43	4	4	5	4.67	4.75	1	4.75	5	5	4.75
1.51	2.63	3.86	2.44	2.56	2.4	3.71	1	1.5	3	3.5	3.5	1.67	2.75	4.25	4.75	5
2	3.63	2	2.78	2.56	2.9	3.14	2.67	3	4	3.33	3	1.33	3	4	4.5	3.5
2.85	4.25	1.86	3.22	4.33	3.6	3.14	3	3.5	5	4	2.25	1	4	5	5	4.75
2.31	4.25	1.14	2.11	3	3.7	3.57	2.33	3.5	5	5	4	1	4	5	4.5	4.5
2.89	4	2	3.56	3.56	4.3	3.29	2.67	4	4	4.5	4.75	1	3.75	4.25	4.25	5
2.83	3.75	2.43	3.67	3.56	4.3	3.71	2.33	3	4	4.17	4	1	4	3.5	3.25	4.5
2.83	4	1.14	3.33	4.22	3.6	3	2.67	4	5	4.83	5	1	2.5	5	5	4.75
2.17	3.75	1.86	2.56	3.22	3.2	4	2	4	4	4.5	4	1	2.75	4	4	4
2.51	3.63	1.43	3	3.67	3.7	3.86	2.67	2.5	4	4	3	1	2.5	5	3.5	3.75
2.8	3.75	2.14	3.33	4.11	3.9	3.43	3	4	5	4	3.5	1	2.75	3.75	4.25	4.25
1.67	2.75	2.57	2.33	2.33	3.3	2.71	2	0	4	3.5	2	1.17	4.75	4.25	3.5	4.25
2.68	4.25	1	2.89	3.67	3.9	3.14	3	3	4	3.67	3.5	1.67	5	4.5	4.5	4.75
2.18	3.13	2.29	2.78	2.89	3.9	2.57	0.67	1	4	3	3.75	1.17	3.75	3.25	2.5	3.75
1.91	3.38	2.71	2.56	2.67	3	2.71	1.33	3	4	3	3.25	1	2.75	4	3.25	3.25
2.25	3.38	2.57	2.22	3.33	4	3.14	2.33	3	4	4	4	1	4.25	4.75	4	5
2.33	3.38	2.57	3.22	3	3.7	2.71	2	1	5	4.33	3.25	1.33	3.5	4.25	4.75	4.75
2.7	3.38	2.29	4.44	3.11	3.8	4.14	0	4	4	3.8	3.5	1	3.75	4.75	3.25	4.25
1.31	3.75	3.14	1.44	1	3	1.86	0	1	5	2.33	2.75	1	3.5	5	4	5
1.56	3	1.43	2	2.78	2.4	2	0	2	4	3.17	3.5	2.33	3.25	4.75	3.75	3.5
1.63	2.88	2.43	2.33	2.78	2.5	2.43	0.67	1	4	2.33	2.33	1	4	5	4.5	4.75
2.36	4.38	1	2.67	3	3.4	3.57	2.33	4	4	4.5	3.5	1	2.25	5	2.5	4.5
2.78	4.5	2	3.33	3.44	3.8	4.14	2.67	4	5	4.67	4.75	1	3.75	5	4.25	4.75
2.5	4.5	1.29	2.33	3.89	3.1	2.71	2	3.5	4	4.17	4.25	1	2	3.5	3.25	5
2.61	4.5	1.71	2.22	3.56	4.1	3.29	2.33	4	4	4.5	4.25	1	1.75	4.75	5	4
2.94	4.75	1.29	3.11	4.22	3.7	3.57	2.67	3	4	4.17	3.5	1.33	4.75	5	4.75	4.75
2.42	4	1.29	2.67	3.22	3.7	2.71	2.33	3.5	4	4	4.75	1	3.5	5	3.75	4.5
3.26	4.88	2.71	3.78	4	4.4	3.29	4	4	5	4.5	4.75	1	4.75	4.75	4.75	4.75
2.78	4.13	1.71	2.89	4	4.1	3.29	3	3.5	4	3.83	3	1	3.5	4.33	5	3
2.61	3.25	2.57	2.44	4	4.6	3	2.33	3	4	3.17	3.5	1.33	3	3.25	3	3.5
1.75	3.38	2.14	2.33	2.56	2.7	3	1	1.5	4	3.5	2.75	4.83	1.5	3.75	3.25	3.5
1.9	3.63	2.14	2.78	2.56	2.6	3.29	1	3	4	4.17	3	1.67	1.25	3.25	3.25	4
2.68	4.88	1.29	2.11	3.67	4	2.43	3	4	5	4.17	4	1	4	4	2.75	4.25
2.72	4	1.71	3.22	3.33	4.2	2.86	3.33	3	4	3.67	3	1.5	1.5	4.25	3	4.75
2.97	3.75	1.14	4.11	4.11	3.9	2.86	3	3	4	4	3	1	3.75	4	4	4
2.41	3.63	2.57	3.11	3.11	3.8	2.14	2.67	3	4	4	3	1	4	3.75	4	4
3.26	4.13	2	4.22	4.22	4.3	4.29	3.33	3.5	4	4.17	4	1	4.75	5	4.5	4.5
2.28	4.25	2	2.78	3.11	3	2.86	2	4	5	4.17	4	1	1.25	4	3.75	4
1.51	3.38	2	1.22	1.67	3.7	2.57	0.67	2.5	5	3	2.5	1.67	3	4.25	3.75	4.5
2.48	4	2.43	3.22	3.33	3.4	3.29	3	3.5	4	4	2.75	1.33	3.5	4.5	4.75	4.25
2.63	3.88	2.43	3	3.56	4	2.86	2.33	3	5	3.17	2.75	1	3.5	3.75	4	3.5
2.34	4.25	1.43	1.67	3.44	3.9	3	2	4	5	4.67	4	1	4	4	3.5	4
1.47	3	2	1.67	2.22	2.9	3.57	2	3	3	3.5	3.75	1.17	2.5	3.25	4.25	3.75
2.42	3.75	3.29	2.89	3.11	3.9	3.86	2	2.5	5	2.83	3	1.17	1	4.25	4	5
2.15	3.75	2.71	2.33	3	3.5	3.43	2	3	4	3.67	4	1.83	1.25	4.5	4.5	4.75
2.32	3.88	2.71	2.78	3	3.6	4	2	3	4	4	3.25	1	1.5	4.5	4.25	4.5
2.85	4.5	1.43	2.11	4.44	4.3	3	4	4	5	4.33	3.25	1	2.5	5	3.25	4.75
2.95	4.13	2	3.78	3.89	4	3	2.67	3	4	4.17	3.5	1	1.5	5	4	#NUL!
2.61	4.38	3.14	2.56	3.22	4.2	4.29	1.67	3	4	4.33	4.5	1	3.75	4.75	4.5	4.75
2.34	3.88	1.71	2	3.33	4	4	2	3	4	4	4	1.33	1	4.5	4.25	5
2.01	3.5	1.86	2	3	3.5	4.57	1.67	3	5	4.17	4	1	1	4	3.5	5
2.26	3.88	1.86	2	3	4	4.29	2	3	5	4.17	4	1	1	4.5	3.25	5
2.81	4.13	1.57	3	4	4.1	3.43	2.67	3	4	4	4	1	3.5	5	4	4.75
2.77	4	2.29	3.22	3.89	3.9	3.71	2.67	4	5	4	3.75	1	2.25	5	4.25	5
2.3	4.5	2	1.56	3.44	3.6	3	3	4	5	4.5	4.75	1	3.25	5	3	4
1.32	3.88	2.57	1.78	2.56	1.2	2	0	0	5	3	4.25	1	4	4.75	4.25	5
2.46	4.75	3.43	2.78	3.33	3	3.57	2	3.5	4	3.33	3	1.17	2.75	4.5	3.5	4.5
2.73	3.88	1.86	3	4	4	3.29	3	3	4	3.83	3	1	2.25	4.75	2.25	5
3.1	4.25	2.14	3.78	4.11	4.2	3.57	3.33	4	5	4.33	4.33	1	3.5	5	3	5
2.34	3.25	2	3.22	2.78	4	3	2.67	3	5	4.5	4.25	1	5	5	5	5
2.83	4.75	1.29	1.89	4.67	4	3	2.33	4	4	4.83	3.5	1.17	1.75	5	4.75	5
2.38	4.25	1.57	2.33	3.67	3.3	3.14	2.33	4	4	4	3.5	1	3.25	3.75	3.25	3.25
1.19	3	3.14	1.78	1.89	2	2.43	0.33	2	4	5	4.25	1.67	2	5	3.5	4.5
2.41	3.63	3	2.89	3.44	3.6	3.71	1.67	3	4	4.83	3.25	1	3.5	5	4.75	4.25
1.96	3.75	1.86	2.22	3.33	2.5	2.71	1.33	3	3	4.67	3.75	1	3	5	5	4.75
2.57	3.38	2.86	3.56	3.89	3.4	3.43	2.33	3	5	4.83	4.67	1	3.75	5	4.75	4.5
1.33	2.13	4.14	2.11	2.56	2.5	2.71	1	2	5	4.83	4.25	1	2.75	5	4.75	4.25
1.78	3	4.29	2.67	2.78	2.7	3.29	1.33	2	2	3.33	3.5	1.83	2.25	4	3.5	4.25
1.29	1.88	3.43	2.89	2	2.4	3.86	0.33	1.5	4	3.33	3.5	1.17	1.33	3.67	3.5	3.5
2.31	3.63	2.43	2.78	3.33	3.4	3.43	1.33	3	4	4.5	3.75	1	4	5	4.25	4
0.67	2.13	2.86	1.33	1.44	1.8	3.71	1	1.5	3	3.5	3.25	2.33	2.25	3.5	4.25	4.5
1.35	2.13	3.43	2.44	2.33	2.5	3.57	1.33	1	4	3.5	3.75	2	1.75	4.25	4.25	3.75
1.27	2.25	3	2.56	2	2.3	3.57	1	1.5	5	3.67	3.5	3.17	1.25	4.25	4	4.75
2.92	3.63	1.14	3.22	4.22	4.5	3.57	3.67	3	4	4	3.5	1	2.75	4.25	3.25	4
1.76	2.75	3.14	2.56	2.44	3.2	4	1	3	4	4	3.75	1	3.25	5	4.75	4.5
2.19	3	2.57	3.22	3.33	3.2	3.14	2.33	3	4	3.83	3	1	2.75	3.75	3.5	3.75
1.97	3.38	3.29	2.78	2.89	2.8	3.14	1.33	2	3	3.67	3.5	1.17	2.25	3.5	3.75	3.25
1.27	3.13	3.29	1.89	1.78	2.2	3.43	1.67	2.5	4	4.2	2.75	1.33	2.5	4	4.5	4.25
2.7	4	2	3.33	3.89	3.5	2.71	2.33	4	4	4	3.25	1	2.75	4.75	4	4.25
1.89	3.25	1.57	1.22	3.56	3.5	3.43	2.33	3	4	4.17	3.25	1	2.5	4.25	3.75	4.25
2.4	3.5	1.57	2.44	3.78	3.8	2.29	2.33	3.5	4	3.67	3.25	1	2.25	4.5	5	4.25
2.18	3	2.86	3.33	3.33	3.1	2.43	1.67	2.5	5	4	3	1	2.25	3	2.5	3.5
1.61	2.88	3.57	3	2.89	1.7	3.71	0.33	2	3	4	2.5	3	1	4	4.75	4
3.11	4.25	1.29	3	4.44	4.7	3.43	4	4	5	4	3	1	3.25	4.75	5	4.25
0.76	2.63	3	1.33	1.44	1.6	1.71	0.67	1	4	2.5	1.75	1.67	1.75	4.33	3.25	4.25
