ACTI	AC	MBEP	CR	IC	IS	MBEA	EXTRA	SATLD	JOBSAT	GOAL	RETENT	QUIT	ACS	ALT.W	ALT.NW	ALT.P
3.04	4.63	1.57	3.44	3.89	4.1	3.43	4	4	5	4.33	4.5	1	4	5	4.5	5
1.22	2.5	3.29	1.56	1.44	3.3	4	0	2	4	3.33	2.75	3.17	3.25	5	2.25	4.5
2.69	3.75	2	3.22	4.11	3.7	4.29	3.33	2	4	4	3	1	2.25	5	3	5
2.09	3	2	2.67	3.56	3.1	2.86	1.67	3	2	3.67	3.5	1	3.25	4	3.5	3.5
1.86	3.13	3.43	2.22	3.11	2.9	3	1	2	4	4	2.75	2.5	1.25	4.25	4.25	4.5
2.28	3.75	3.14	2.89	3.33	3.1	2.57	2	1	4	4	4	1	3	3	3	4
2.35	3.5	3.29	3	3.11	3.7	4	1.67	1	4	3.17	3.25	1.17	3	3	2.67	3
2.4	4.13	2.57	3.22	3.22	3	3.71	2	3	4	4.83	4.75	1	5	5	4.75	5
1.86	3.75	2.43	2.22	2.78	2.7	2.86	3	3	4	3.67	3.5	1.83	4	4	3.75	3.75
1.19	2.63	4.86	2.11	2	2.1	2.29	0	1	4	4	3.25	1	2.25	5	4.5	4.75
0.54	1.88	3.43	1.78	1.22	1.3	1.57	0	0	5	2.17	2	1.67	1	4.5	4	4.5
1.74	3.25	3.43	2.33	2.78	2.6	2.29	1	2	3	3	2.5	1.4	1	3.25	2.75	3
1.32	2.38	3.29	2.33	2.89	1.8	1.86	0	0	5	2.17	2.25	2	1	4.5	3.75	4.25
2.4	3.63	2.14	3.11	3.44	3.4	3.57	1.67	3	4	2.83	2.5	1.33	3.25	3.5	2.25	3.5
2.64	4	2.29	3.22	3.67	3.7	3.29	3	3	5	4.5	4.5	1	3.25	4.5	4.5	4
3.01	4.38	1.29	3.33	4	4.3	3.57	2.67	3	5	4.67	4.25	1	5	5	5	5
3.13	4.38	1.71	3.89	4.33	3.9	3.71	3	4	4	3.83	2.75	1	3.25	4.75	4.75	4.5
3.02	4.63	1.71	3.22	4.44	3.8	3	3	4	4	#NUL!	#NUL!	1	4.25	#NUL!	#NUL!	#NUL!
1.29	3.13	2.29	1.78	2.33	1.9	2	0.67	1	4	3	2.25	1.83	4	3.75	2.25	3.5
1.15	2.13	4.14	1.89	2.33	2.2	2.86	0.67	1	5	4.33	3.5	1.5	2.25	4.5	4.5	4.25
